episode_rewards,episode_lengths
235.0,1319
280.0,1477
140.0,791
80.0,681
90.0,514
110.0,1062
130.0,802
130.0,951
100.0,602
295.0,1926
175.0,1112
295.0,1023
190.0,854
295.0,1214
110.0,729
110.0,704
205.0,818
175.0,708
120.0,573
20.0,297
30.0,324
265.0,1136
150.0,1018
20.0,460
355.0,3119
280.0,2672
280.0,1561
160.0,1108
140.0,1184
175.0,767
160.0,851
80.0,789
175.0,970
50.0,319
220.0,1078
60.0,379
190.0,822
340.0,1280
160.0,866
80.0,549
110.0,579
30.0,309
120.0,555
235.0,1525
205.0,992
90.0,1613
120.0,643
150.0,672
80.0,598
370.0,1493
295.0,1914
130.0,871
150.0,1461
140.0,736
160.0,1114
190.0,1064
600.0,1874
160.0,1320
325.0,1179
130.0,770
220.0,897
140.0,1100
110.0,553
100.0,546
80.0,634
840.0,2162
340.0,1365
130.0,2446
130.0,542
190.0,1639
175.0,877
280.0,1368
150.0,931
140.0,933
205.0,1531
80.0,612
160.0,940
