episode_rewards,episode_lengths
105.0,464
15.0,357
180.0,620
380.0,876
380.0,624
410.0,597
45.0,484
165.0,524
180.0,612
35.0,317
155.0,492
110.0,427
105.0,442
230.0,700
30.0,387
120.0,512
180.0,580
60.0,307
45.0,358
80.0,689
55.0,281
210.0,617
80.0,451
90.0,414
150.0,589
120.0,612
45.0,434
50.0,437
105.0,494
490.0,769
210.0,613
430.0,1054
110.0,506
105.0,446
190.0,574
130.0,512
155.0,530
170.0,847
80.0,485
185.0,579
75.0,295
290.0,772
80.0,400
145.0,554
105.0,548
135.0,587
210.0,619
95.0,297
155.0,598
395.0,634
210.0,630
135.0,414
185.0,453
80.0,588
125.0,446
210.0,775
70.0,475
60.0,286
105.0,508
410.0,668
135.0,530
155.0,560
410.0,585
