episode_rewards,episode_lengths
80.0,439
215.0,690
50.0,382
115.0,504
210.0,606
580.0,742
45.0,337
105.0,420
180.0,490
110.0,522
75.0,294
210.0,667
45.0,408
180.0,530
75.0,335
30.0,365
195.0,598
235.0,781
150.0,616
155.0,519
115.0,529
20.0,368
155.0,537
30.0,372
110.0,387
180.0,533
210.0,594
80.0,448
90.0,377
110.0,445
130.0,497
155.0,564
210.0,622
105.0,471
70.0,388
245.0,669
75.0,460
135.0,601
135.0,588
160.0,612
155.0,457
130.0,424
180.0,541
105.0,484
95.0,339
95.0,437
150.0,366
135.0,593
135.0,606
50.0,386
80.0,278
370.0,474
180.0,420
75.0,302
60.0,359
670.0,1074
155.0,565
55.0,258
80.0,374
80.0,297
35.0,280
225.0,649
215.0,671
215.0,888
110.0,484
170.0,486
110.0,452
30.0,304
55.0,239
35.0,411
205.0,694
250.0,646
80.0,465
65.0,444
110.0,561
240.0,685
185.0,590
450.0,706
45.0,327
270.0,798
385.0,665
210.0,586
180.0,534
50.0,285
135.0,550
105.0,390
110.0,455
35.0,365
90.0,393
110.0,560
45.0,363
55.0,323
190.0,694
155.0,531
260.0,723
20.0,350
105.0,461
255.0,774
550.0,1207
50.0,431
240.0,704
160.0,541
135.0,604
110.0,456
120.0,497
55.0,285
110.0,439
180.0,576
365.0,864
60.0,403
