episode,sum q_values,average q_values
1,5177.7993,10.3555975
2,5388.241,10.776481
3,5635.8047,11.271608
4,5705.676,11.411353
5,5787.758,11.575516
6,5462.6865,10.925371
7,5851.248,11.7024975
8,5365.9707,10.731941
9,5582.998,11.165997
10,5575.706,11.15141
11,5285.045,10.570087
12,5628.3535,11.256707
13,5506.087,11.012171
14,5504.924,11.009847
15,5371.786,10.74357
16,5187.863,10.375727
17,5529.576,11.059154
18,5498.672,10.997345
19,5318.242,10.636485
20,5389.015,10.778029
21,5451.6377,10.9032755
22,5495.453,10.990909
23,5364.825,10.729649
24,5375.759,10.751517
25,5300.7036,10.601408
26,5450.557,10.901114
27,5444.255,10.888511
28,5358.1094,10.716217
29,5333.0317,10.666061
30,5521.8203,11.043643
31,5462.856,10.925712
32,5417.9844,10.835969
33,5730.8013,11.461602
34,5735.152,11.470303
35,5818.835,11.637668
36,5693.953,11.387904
37,5537.005,11.07401
38,6176.715,12.353432
39,5928.214,11.856429
40,6340.195,12.680389
41,5887.5107,11.775023
42,6042.742,12.085483
43,6178.692,12.357384
44,6429.428,12.858856
45,5792.1514,11.584301
46,5563.377,11.126755
47,5599.375,11.198751
48,5610.785,11.22157
