step,loss value
100,1.3858992
200,0.4056282
300,0.3969161
400,0.28441116
500,0.14993653
600,0.22824557
700,0.121049084
800,0.1554825
900,0.13783906
1000,0.28094032
1100,0.35683954
1200,0.24098802
1300,0.94113445
1400,1.9168135
1500,0.19519436
1600,0.29499337
1700,0.1444364
1800,2.5216305
1900,0.23755243
2000,0.84726334
2100,0.17740124
2200,0.66034317
2300,1.0974222
2400,0.11436076
2500,10.26802
2600,0.7459596
2700,0.5840028
2800,0.0111722145
2900,0.051446717
3000,0.014930807
3100,0.013375166
3200,0.026886672
3300,0.031143771
3400,0.6029082
3500,0.024951518
3600,0.02117751
3700,0.034461074
3800,0.010312609
3900,0.042401407
4000,8.624773
4100,0.022324633
4200,0.50464255
4300,0.9099659
4400,0.6232245
4500,0.07319007
4600,0.014958679
4700,0.9106196
4800,1.2516199
4900,4.6003838
5000,0.06735985
5100,0.013731055
5200,9.420795
5300,0.29664737
5400,16.205765
5500,29.475233
5600,0.62257975
5700,0.036228824
5800,0.10768275
5900,0.04746138
6000,0.14552063
6100,0.61551505
6200,0.13784868
6300,15.324119
6400,0.0639167
6500,0.599414
6600,11.284947
6700,0.024728708
6800,0.01569783
6900,11.574389
7000,16.519766
7100,0.34601077
7200,0.03637859
7300,0.60225785
7400,0.011329143
7500,17.425201
7600,0.10764538
7700,0.017569978
7800,0.0055831536
7900,1.2307931
8000,23.900278
8100,0.008221167
8200,5.583779
8300,14.12981
8400,36.578815
8500,2.7477992
8600,33.71715
8700,2.0714388
8800,4.285707
8900,0.643174
9000,3.1607013
9100,6.8793373
9200,0.030627893
9300,0.021479882
9400,1.2226062
9500,2.7491958
9600,0.012021007
9700,0.61069864
9800,0.008925102
9900,26.647501
10000,0.9031844
10100,0.0071724933
10200,1.485775
10300,0.00851822
10400,2.0739555
10500,0.6708489
10600,1.3560289
10700,0.0069605224
10800,5.149745
10900,27.682888
11000,0.010579812
11100,0.0059641683
11200,0.61090595
11300,0.26227862
11400,2.6049588
11500,0.3129378
11600,1.6951046
11700,0.00571895
11800,1.1796153
11900,0.69859785
12000,0.58924484
12100,0.009147522
12200,2.2588124
12300,0.004475149
12400,0.61630696
12500,0.011018543
12600,4.5381694
12700,0.6028962
12800,0.007840198
12900,0.0046641976
13000,0.007442798
13100,3.0235431
13200,0.92399776
13300,0.0058381762
13400,0.8967513
