episode,sum q_values,average q_values
1,-4721.6973,-9.443396
2,-2682.2512,-5.3645024
3,-378.65643,-0.7573129
4,147.7883,0.2955766
5,-5869.3506,-11.738702
6,-9744.717,-19.489431
7,-6389.245,-12.778489
8,-6609.111,-13.218223
9,-5719.569,-11.439137
10,-3114.0684,-6.2281356
11,-6701.9053,-13.403809
12,-9515.945,-19.031893
13,-7921.0156,-15.842031
14,-6620.925,-13.241851
15,-3755.3513,-7.5107026
16,-4324.7188,-8.649438
17,-3961.9214,-7.923843
18,-4184.981,-8.369963
19,-4298.798,-8.597594
20,-4395.6626,-8.791326
21,-4357.6235,-8.715246
22,-4163.368,-8.326737
23,-4433.836,-8.867671
24,-4471.408,-8.942817
25,-4746.1543,-9.492309
26,-4143.4746,-8.286949
27,-4327.4883,-8.654977
28,-4064.7183,-8.129437
29,-4102.2256,-8.204451
30,-4141.9736,-8.283948
31,-4617.8936,-9.235788
32,-4475.1064,-8.950211
33,-4328.655,-8.657309
34,-4291.713,-8.5834255
35,-4399.0586,-8.79812
36,-4492.5586,-8.985114
37,-4269.9375,-8.539874
38,-4379.671,-8.759342
39,-4353.966,-8.70793
40,-4697.6055,-9.395212
41,-4623.193,-9.246383
42,-4479.032,-8.958063
43,-4500.51,-9.0010195
44,-4370.695,-8.74139
45,-4221.789,-8.443577
46,-4613.2983,-9.226598
47,-3925.252,-7.850504
48,-4453.52,-8.907042
49,-4582.882,-9.165763
50,-4455.5312,-8.911063
51,-4326.3506,-8.6527
52,-4438.9727,-8.877945
53,-4305.117,-8.610233
54,-4415.683,-8.831367
55,-4258.128,-8.516256
56,-4156.603,-8.313205
57,-4053.1636,-8.106328
58,-4933.2227,-9.8664465
59,-4494.2617,-8.988523
60,-4020.3042,-8.0406065
61,-4779.7783,-9.559557
62,-4247.4644,-8.494929
63,-4424.239,-8.848478
64,-4338.861,-8.677723
65,-4323.6626,-8.6473255
66,-4451.806,-8.903614
67,-4354.827,-8.709653
68,-4466.5967,-8.933193
69,-4354.4297,-8.708861
70,-4218.828,-8.437655
71,-4383.666,-8.767332
72,-4005.825,-8.011649
73,-4474.446,-8.948891
74,-4683.723,-9.367446
75,-3441.9165,-6.883833
76,-4020.9136,-8.041826
77,-4720.088,-9.440174
78,-4635.956,-9.271913
79,-5077.1084,-10.154218
80,-4749.5874,-9.499175
81,-5061.8174,-10.123634
82,-5002.024,-10.004049
83,-4692.9707,-9.3859415
84,-4466.1836,-8.932367
85,-4538.259,-9.076517
86,-4574.96,-9.149923
87,-4942.115,-9.884231
88,-4823.4844,-9.646967
89,-4422.297,-8.844594
90,-4690.1045,-9.380208
91,-4947.202,-9.894407
92,-4803.8374,-9.607674
93,-4910.1274,-9.820257
94,-4582.579,-9.165158
95,-5219.0146,-10.43803
96,-4464.9893,-8.929978
97,-4948.3447,-9.89669
98,-4688.527,-9.377054
99,-4544.916,-9.089833
100,-4550.797,-9.101594
101,-4619.342,-9.238683
102,-4325.9663,-8.651932
103,-4678.64,-9.357281
104,-4752.541,-9.505082
105,-4383.843,-8.767688
106,-4801.968,-9.603935
107,-4420.923,-8.841846
108,-4464.0654,-8.928131
109,-4519.3286,-9.038657
110,-4421.5957,-8.843191
111,-4622.6885,-9.245376
112,-4642.6904,-9.285382
113,-4175.536,-8.351071
114,-4602.135,-9.20427
115,-4001.3445,-8.002689
116,-4136.355,-8.27271
117,-4094.334,-8.188668
118,-4372.439,-8.744878
119,-4831.2617,-9.662521
120,-4327.786,-8.655571
121,-4405.0225,-8.810045
122,-4084.2732,-8.168547
123,-4353.9155,-8.70783
124,-4904.4824,-9.808965
125,-4189.798,-8.379596
126,-4357.649,-8.715298
127,-4280.3604,-8.56072
128,-4437.422,-8.874845
129,-4382.0645,-8.764127
130,-3988.811,-7.9776216
131,-4154.3164,-8.308633
132,-4230.0205,-8.460039
133,-4426.043,-8.852087
134,-4276.4478,-8.552895
135,-4422.901,-8.845801
136,-4227.054,-8.454106
137,-4336.7773,-8.673555
138,-4299.6836,-8.599367
139,-4366.999,-8.733998
140,-4490.8574,-8.981714
141,-4020.623,-8.041248
142,-4120.7227,-8.241446
143,-4277.4053,-8.55481
144,-3843.7969,-7.687594
145,-4487.457,-8.9749155
146,-4000.249,-8.000497
147,-3767.1997,-7.5343995
148,-4073.0312,-8.146063
149,-4152.035,-8.304071
150,-4089.7148,-8.17943
151,-4116.218,-8.232436
152,-4100.232,-8.200464
153,-4241.7603,-8.4835205
154,-4536.566,-9.0731325
155,-3993.969,-7.987938
156,-4201.6455,-8.403291
157,-4065.8594,-8.13172
158,-4589.111,-9.178222
159,-4456.8896,-8.91378
160,-3507.9844,-7.0159683
161,-4638.306,-9.276613
162,-4201.3867,-8.402772
163,-4391.651,-8.783301
164,-3880.0376,-7.760075
165,-4434.6904,-8.869382
166,-4270.0845,-8.540169
167,-4067.5444,-8.13509
168,-3969.734,-7.939468
169,-4298.127,-8.596256
170,-4133.67,-8.26734
171,-4461.4893,-8.922979
172,-4085.7993,-8.171598
173,-3909.942,-7.8198843
174,-4188.1123,-8.3762245
175,-4344.068,-8.688135
176,-4122.2134,-8.244427
177,-4035.8926,-8.071785
178,-4292.585,-8.585168
179,-3771.1377,-7.5422754
180,-3767.643,-7.5352864
181,-3880.5327,-7.761067
182,-3780.347,-7.560693
183,-3764.3726,-7.528745
184,-3861.519,-7.7230377
185,-3827.092,-7.6541834
186,-3870.1382,-7.7402763
187,-3759.6294,-7.5192585
188,-3789.622,-7.579243
189,-3678.9119,-7.3578234
190,-4037.3154,-8.074631
191,-4133.0015,-8.266002
192,-3763.21,-7.526422
193,-3868.5576,-7.737115
194,-3189.8638,-6.379729
195,-2918.3948,-5.836789
196,-3441.847,-6.8836937
197,-3311.218,-6.622436
198,-3555.8345,-7.1116686
199,-3396.0469,-6.7920938
200,-3574.082,-7.1481647
201,-3360.1143,-6.7202277
202,-3169.853,-6.3397055
203,-3621.309,-7.2426176
204,-3466.1782,-6.9323564
205,-3455.8447,-6.91169
206,-3461.5012,-6.9230027
207,-3248.183,-6.4963665
208,-3364.7124,-6.7294245
209,-3266.3105,-6.53262
210,-3161.286,-6.3225718
211,-3393.253,-6.7865047
212,-3002.0437,-6.004087
213,-3328.9226,-6.6578445
214,-3446.83,-6.8936605
215,-3334.9004,-6.669801
216,-3315.976,-6.631952
217,-3561.7134,-7.1234264
218,-3424.676,-6.849353
219,-3104.27,-6.208541
220,-3149.8528,-6.299706
221,-2926.5923,-5.8531847
222,-2826.7131,-5.6534257
223,-3119.422,-6.2388444
224,-3152.244,-6.304487
225,-2654.8318,-5.3096633
226,-3176.6394,-6.353279
