episode,sum q_values,average q_values
1,1372.737,2.7454736
2,1372.9543,2.7459092
3,1417.3463,2.8346915
4,1442.7227,2.885441
5,1463.9677,2.9279325
6,1426.2969,2.8525898
7,1415.8821,2.8317618
8,1410.3677,2.8207386
9,1479.1492,2.958298
10,1484.0464,2.9680932
11,1481.0479,2.962093
12,1479.828,2.9596562
13,1513.6503,3.0272985
14,1496.2483,2.9924927
15,1515.4634,3.0309243
16,1507.77,3.0155387
17,1484.43,2.968858
18,1482.258,2.964512
19,1521.3043,3.0426066
20,1518.7812,3.037563
21,1515.6661,3.0313277
22,1509.3523,3.0186973
23,1508.7059,3.017414
24,1512.6504,3.0252988
25,1506.2517,3.0125084
26,1499.2747,2.9985492
27,1498.2765,2.9965506
28,1498.0994,2.9962013
29,1500.2721,3.0005438
30,1469.7656,2.9395308
31,1478.0442,2.9560864
32,1492.8394,2.9856758
33,1533.0684,3.066142
34,1535.9072,3.071809
35,1521.0671,3.0421343
36,1507.5375,3.0150754
37,1509.8452,3.019688
38,1536.6731,3.0733442
39,1535.628,3.0712633
40,1536.7761,3.073552
41,1502.2875,3.0045724
42,1515.4996,3.0309918
43,1519.568,3.0391376
44,1554.87,3.1097424
45,1547.2668,3.0945294
46,1544.9729,3.08994
47,1529.712,3.0594175
48,1566.9318,3.1338663
49,1527.6733,3.0553439
50,1564.8533,3.1297114
51,1604.4926,3.2089798
52,1535.7712,3.0715473
53,1603.2498,3.2064977
54,1544.6218,3.0892437
55,1617.3877,3.2347753
56,1594.8875,3.1897724
57,1594.1125,3.1882322
58,1610.3861,3.2207687
59,1625.4565,3.250911
60,1597.8081,3.1956139
61,1561.4615,3.1229146
62,1551.1694,3.1023414
63,1626.8312,3.2536623
64,1595.8462,3.1916924
65,1622.568,3.2451372
66,1614.6077,3.229213
67,1602.3843,3.2047694
68,1590.0128,3.180028
69,1592.1326,3.184265
70,1611.5614,3.2231176
71,1637.2007,3.2743995
72,1617.4877,3.2349808
73,1609.3026,3.218613
74,1611.5294,3.2230568
75,1640.1918,3.2803805
76,1647.055,3.2941144
77,1655.4463,3.310887
78,1708.2681,3.416534
79,1722.1118,3.4442182
80,1774.8467,3.5496976
81,1783.4825,3.5669713
82,1706.06,3.4121244
83,1723.7715,3.4475405
84,1801.3728,3.6027517
85,1787.3574,3.5747104
86,1786.2644,3.5725238
87,1764.0435,3.5280805
88,1729.9004,3.4598043
89,1724.0001,3.4480028
90,1815.2737,3.630554
91,1807.2578,3.6145132
92,1834.4508,3.6688983
93,1753.675,3.5073545
94,1765.8566,3.5317197
95,1761.6555,3.5233047
96,1752.8088,3.505614
97,1756.0326,3.5120664
98,1754.6198,3.509235
99,1741.2441,3.4824946
100,1826.8887,3.6537778
101,1768.7454,3.5374906
102,1769.0698,3.538146
103,1807.8789,3.615753
104,1817.9452,3.635895
105,1809.5372,3.6190763
106,1779.756,3.5595102
107,1840.2795,3.6805606
108,1788.8851,3.5777774
109,1796.6772,3.5933566
110,1797.4573,3.5949214
111,1888.8943,3.7777872
112,1806.7314,3.613461
113,1803.091,3.6061816
114,1808.8894,3.6177793
115,1818.3749,3.6367495
116,1835.3715,3.6707456
117,1860.6992,3.7214048
118,1888.051,3.7760956
119,1921.3597,3.8427246
120,1927.2388,3.854481
121,1927.1978,3.8544009
122,1931.6404,3.8632774
