episode,sum q_values,average q_values
1,878.8441,1.757688
2,331.56982,0.6631392
3,-432.04684,-0.8640935
4,-316.71072,-0.6334215
5,-1204.7256,-2.4094512
6,-748.41174,-1.4968238
7,-966.7046,-1.9334095
8,-1287.0665,-2.574133
9,-2227.8308,-4.4556613
10,-1353.4357,-2.7068706
11,-1230.2412,-2.4604826
12,-1078.5375,-2.157075
13,-824.38336,-1.6487665
14,-842.81604,-1.6856322
15,-599.3323,-1.1986647
16,-484.87598,-0.96975213
17,-1927.1431,-3.8542852
18,-1517.686,-3.035372
19,-1505.674,-3.0113478
20,-1133.7552,-2.2675102
21,-818.6511,-1.6373024
22,-731.8253,-1.4636507
23,-913.6853,-1.8273704
24,-817.06647,-1.6341329
25,-963.00806,-1.9260162
26,-821.1599,-1.64232
27,-896.6045,-1.793209
28,-856.9182,-1.7138363
29,-794.188,-1.5883762
30,-928.15295,-1.8563061
31,-560.50653,-1.1210134
32,-513.3866,-1.0267733
33,-516.49475,-1.0329895
34,-346.63318,-0.69326633
35,-434.63165,-0.86926335
36,-371.35492,-0.7427098
37,-341.82938,-0.68365884
38,-361.24637,-0.7224928
39,-362.9637,-0.7259273
40,-342.16763,-0.6843353
41,-380.1176,-0.7602353
42,-359.20593,-0.71841186
43,-351.51083,-0.7030216
44,-352.1388,-0.70427746
45,-373.4033,-0.74680656
46,-352.13715,-0.7042742
47,-346.7289,-0.69345796
48,-350.44537,-0.70089096
49,-332.71588,-0.6654316
1,1352.7568,2.7055137
2,6.514673,0.013029334
3,86.52354,0.17304711
4,81.81687,0.1636337
5,1078.5026,2.1570053
6,2081.6523,4.163305
7,454.22195,0.90844405
8,177.07664,0.35415325
9,264.29846,0.52859694
10,300.5852,0.60117036
11,-117.39693,-0.23479389
12,-129.72804,-0.25945613
13,-127.272766,-0.2545456
14,-100.303604,-0.20060724
15,-60.442932,-0.120885864
16,-146.95464,-0.2939093
17,-146.6846,-0.29336926
18,2.7885027,0.005576999
19,-49.935555,-0.099871136
20,-239.87093,-0.47974187
21,-363.6587,-0.7273173
22,-339.5094,-0.6790186
23,-444.81897,-0.8896379
24,-547.2083,-1.0944163
25,-301.95026,-0.6039005
26,-379.58527,-0.7591708
27,-397.216,-0.794432
28,-407.04327,-0.8140865
29,-364.6041,-0.72920835
30,-378.0902,-0.7561805
1,-214.60974,-0.42921945
2,-427.58914,-0.8551782
3,-387.19214,-0.7743841
4,-608.36005,-1.21672
5,-417.73523,-0.83547026
6,-549.03723,-1.0980744
7,-441.93143,-0.8838629
8,-483.5419,-0.9670839
