episode,sum q_values,average q_values
1,-125.7733,-0.25154662
2,-116.33894,-0.23267792
3,-115.14163,-0.23028326
4,-118.00906,-0.23601809
5,-112.210075,-0.22442013
6,-105.5296,-0.21105927
7,-93.787476,-0.18757492
8,-79.81105,-0.15962216
9,-90.0702,-0.18014044
10,-81.99173,-0.16398352
11,-84.60402,-0.16920803
12,-80.33694,-0.16067395
13,-103.84191,-0.2076839
14,-81.73559,-0.16347112
15,-86.490234,-0.17298041
16,-6.763716,-0.01352745
17,-16.769943,-0.03353981
18,-21.675365,-0.043350685
19,-5.305524,-0.01061105
20,-18.941803,-0.037883583
21,-29.73984,-0.059479725
22,-32.09717,-0.06419434
23,-27.56739,-0.05513481
24,-13.98272,-0.027965415
25,-69.23369,-0.13846734
26,-87.56376,-0.17512752
27,-52.14807,-0.10429615
28,-11.789983,-0.023579935
29,-44.396053,-0.08879211
30,-18.04849,-0.03609701
31,-7.655093,-0.01531021
32,-19.480453,-0.038960982
33,-12.578862,-0.02515761
34,-8.242718,-0.016485395
35,-8.218727,-0.016437447
36,-44.613853,-0.089227706
37,-12.414391,-0.024828793
38,-4.012976,-0.00802595
39,-21.90426,-0.043808524
40,-11.265646,-0.022531293
41,11.575884,0.023151815
42,24.662968,0.04932605
43,24.96174,0.049923565
44,19.946434,0.039892897
45,0.41957378,0.00083918765
46,0.6833372,0.0013666628
47,0.57956266,0.0011591034
48,7.3521814,0.014704409
49,3.5676632,0.007135319
50,17.892696,0.0357854
51,10.94981,0.021899609
52,23.583813,0.047167685
53,72.32009,0.14464027
54,68.38066,0.13676134
55,69.36174,0.13872361
56,49.789948,0.099579774
57,23.258266,0.046516556
58,1.979927,0.0039598593
59,22.406116,0.044812266
60,27.325314,0.05465075
61,28.207117,0.05641417
62,36.323814,0.072647646
63,34.965233,0.06993048
64,79.43675,0.15887347
65,82.02727,0.16405453
66,92.89964,0.18579961
67,126.20575,0.25241113
68,146.78198,0.2935639
69,146.02167,0.29204345
70,119.71582,0.23943113
71,111.842545,0.22368482
72,130.0509,0.26010132
73,140.23622,0.28047216
74,139.28656,0.27857232
75,135.59671,0.27119341
76,127.76184,0.2555241
77,119.88202,0.23976403
78,124.252304,0.24850507
79,146.1937,0.29238734
80,149.99149,0.29998347
81,157.83516,0.31567076
82,132.96077,0.26592168
83,131.02411,0.2620478
84,149.22794,0.2984561
85,186.45697,0.37291396
86,151.79782,0.30359584
87,151.64395,0.30328825
88,176.35321,0.35270685
89,182.4214,0.3648432
90,180.1087,0.3602175
91,152.55927,0.30511853
92,169.27454,0.33854872
93,162.73924,0.32547894
94,164.92325,0.32984716
95,150.26126,0.30052254
96,139.00554,0.2780106
97,190.92148,0.38184297
98,174.0513,0.3481025
99,156.83789,0.31367534
100,156.65097,0.3133023
101,162.2939,0.3245878
102,184.56828,0.3691357
103,170.79791,0.34159577
104,177.98764,0.35597572
105,176.12093,0.35224116
106,193.7302,0.38746032
107,181.28093,0.36256236
108,163.63934,0.3272782
109,190.45406,0.38090718
110,232.19795,0.46439502
111,260.8395,0.521679
112,299.34662,0.59869385
113,277.6239,0.5552478
114,246.33719,0.49267438
115,248.09811,0.49619687
116,227.28258,0.45456463
117,227.69246,0.45538518
118,235.18637,0.47037366
119,243.57806,0.48715553
120,253.89392,0.50778764
121,258.57532,0.51715076
122,261.38315,0.5227666
123,255.29704,0.51059335
124,228.05014,0.45610043
125,222.47684,0.44495392
126,260.9079,0.52181643
127,337.87167,0.67574346
128,344.1961,0.6883915
129,328.2859,0.6565715
130,348.09726,0.6961941
131,339.89478,0.6797904
132,354.42883,0.7088572
133,313.24835,0.62649655
134,323.35727,0.6467144
135,327.54065,0.6550812
136,360.9427,0.7218843
137,356.50934,0.7130176
138,330.91153,0.6618232
139,292.9069,0.5858137
140,313.32614,0.6266521
141,334.85913,0.66971827
142,308.32568,0.6166509
143,320.0522,0.6401047
144,315.91034,0.6318208
145,311.52316,0.62304676
146,369.3883,0.73877615
147,384.04514,0.76809025
148,368.72708,0.73745596
149,353.11542,0.7062303
150,361.90454,0.72380966
151,363.34702,0.72669214
152,364.76337,0.72952664
153,345.64905,0.6912991
154,376.86496,0.75373054
155,394.0958,0.78819156
156,324.6129,0.6492273
157,298.1629,0.5963248
158,293.373,0.5867463
159,320.49606,0.6409913
160,340.58905,0.6811787
161,394.75534,0.78951
162,365.3333,0.7306661
163,329.5822,0.65916437
164,342.84845,0.68569607
165,402.4911,0.80498093
166,332.76572,0.6655313
167,343.3153,0.68663055
168,355.2917,0.7105852
169,352.22687,0.70445263
170,394.26672,0.78853345
171,373.25763,0.7465135
172,358.1938,0.7163898
173,339.6797,0.6793594
174,419.58862,0.8391788
175,397.3575,0.79471564
176,379.5008,0.7590014
177,373.53943,0.74707824
178,406.55463,0.8131094
179,400.2356,0.8004687
180,413.84454,0.82769006
181,427.6887,0.8553773
182,387.6112,0.7752225
183,384.42676,0.7688522
184,385.409,0.770818
185,412.35776,0.82471496
186,424.18,0.84836084
187,430.96548,0.8619309
188,436.21002,0.87241983
189,462.11517,0.9242288
190,398.65027,0.7972997
191,386.6409,0.7732821
192,409.39764,0.81879395
193,443.6136,0.8872262
194,468.16864,0.93633753
195,414.9843,0.82996863
196,391.35834,0.78271604
197,415.1198,0.83023864
198,378.29016,0.7565803
199,392.93982,0.7858784
200,441.96472,0.8839293
201,455.2785,0.9105569
202,468.84875,0.9376974
203,478.06604,0.95613194
204,457.1549,0.91430944
205,424.53717,0.8490745
206,405.88544,0.81177163
207,444.65167,0.8893043
208,415.83224,0.83166397
209,420.32,0.8406399
210,429.44763,0.8588943
211,460.40912,0.9208181
212,479.83997,0.9596789
213,441.90747,0.8838154
214,480.19617,0.96039224
215,471.25867,0.94251907
216,460.45212,0.920906
217,500.48334,1.0009649
218,469.00046,0.9380025
219,457.62766,0.91525364
220,500.00476,1.0000113
221,456.48083,0.9129601
222,428.04822,0.85609543
223,415.32358,0.8306476
224,485.15756,0.9703138
225,492.15393,0.9843093
226,469.3132,0.9386282
227,451.87286,0.9037473
228,447.36,0.89472115
229,507.3723,1.0147445
230,487.6667,0.9753334
231,494.26303,0.9885256
232,531.9917,1.063983
233,470.0432,0.9400864
234,469.93454,0.93986887
235,501.66266,1.0033257
236,604.5598,1.2091209
237,605.7316,1.2114631
238,512.2044,1.0244074
239,555.43274,1.1108655
240,548.99,1.09798
241,519.9631,1.0399245
242,515.4214,1.030846
243,521.4703,1.0429412
244,522.38403,1.0447686
245,582.2549,1.1645095
246,584.09503,1.1681892
247,559.78955,1.1195788
248,561.0707,1.1221392
249,529.9054,1.0598108
250,551.32745,1.1026546
251,555.7677,1.111535
252,556.5587,1.1131169
253,554.47437,1.1089505
254,578.11206,1.1562246
255,578.3319,1.1566647
256,582.3064,1.1646144
257,578.85474,1.157708
258,555.9181,1.111836
259,541.9257,1.0838518
260,546.3966,1.0927927
261,542.12036,1.0842403
262,574.4265,1.148853
263,574.15125,1.1483004
264,568.5744,1.1371504
265,618.38074,1.2367622
266,658.71686,1.3174338
267,668.3602,1.3367186
268,685.0628,1.370127
269,642.5462,1.2850928
270,625.69556,1.2513916
271,633.82007,1.2676389
272,636.10486,1.2722095
273,598.24225,1.196485
274,610.83276,1.2216653
275,624.8856,1.2497718
276,630.4823,1.2609633
277,656.2289,1.3124595
278,647.61224,1.2952242
279,629.0969,1.2581917
280,654.83484,1.3096691
281,652.84796,1.305697
282,673.1038,1.3462074
283,686.81995,1.3736418
284,715.0337,1.4300662
285,737.65796,1.4753181
286,720.09485,1.4401863
287,742.84875,1.4856998
288,712.50323,1.4250058
289,681.44434,1.3628852
290,663.96185,1.3279243
291,657.01746,1.3140364
292,661.8144,1.3236306
293,692.42456,1.3848499
294,726.785,1.4535725
295,715.6567,1.4313122
296,728.5442,1.4570872
297,760.888,1.5217748
298,734.4573,1.4689124
299,761.1863,1.52237
300,849.81085,1.6996208
301,748.30334,1.4966102
302,766.43384,1.5328677
303,772.2055,1.544411
304,762.9133,1.5258249
305,746.166,1.4923322
306,742.0851,1.4841714
307,732.83167,1.4656653
308,720.3957,1.4407903
309,790.1311,1.5802631
310,780.7375,1.5614775
311,838.2272,1.6764532
312,821.69556,1.6433923
313,825.96375,1.6519248
314,847.7094,1.6954199
315,798.5807,1.5971621
316,829.72424,1.6594473
317,841.3844,1.6827719
318,842.8941,1.6857893
319,826.92786,1.6538545
320,831.24927,1.6624986
321,829.0185,1.6580358
322,838.1697,1.6763403
323,832.9567,1.6659162
324,884.8906,1.7697833
325,942.7407,1.8854827
326,946.2545,1.892509
327,986.54584,1.9730891
