episode,sum q_values,average q_values
1,-16526.66,-33.053318
2,-1329.0242,-2.6580477
3,-1402.9375,-2.805874
4,-1124.8394,-2.2496784
5,-730.9469,-1.4618942
6,1884.8701,3.7697408
7,855.4004,1.7108008
8,-1318.072,-2.636145
9,-1284.8519,-2.5697038
10,-1752.1489,-3.5042968
11,-748.41174,-1.4968238
12,-1398.1428,-2.7962854
13,-553.9896,-1.1079793
14,-687.67224,-1.3753446
15,-1344.1683,-2.6883366
16,-1196.1648,-2.3923295
17,-991.11536,-1.9822305
18,-1107.9185,-2.215837
19,-1600.9741,-3.2019482
20,-1344.1409,-2.6882815
21,-980.90594,-1.9618118
22,-818.6511,-1.6373024
23,-854.3512,-1.7087027
24,-1273.1663,-2.5463326
25,-1390.4792,-2.7809584
26,-1203.8853,-2.4077704
27,-1002.3866,-2.004773
28,-771.7607,-1.5435213
29,-863.43115,-1.7268623
30,-848.20044,-1.6964009
31,-862.99677,-1.7259936
32,-723.9767,-1.4479536
33,-852.4082,-1.7048161
34,-988.31213,-1.9766244
35,-1230.2731,-2.4605465
36,-540.7136,-1.081427
37,-707.9589,-1.415918
38,-490.867,-0.98173404
39,-310.25006,-0.62050015
40,-388.6979,-0.77739584
41,-343.5059,-0.6870117
42,-336.38297,-0.672766
43,-357.85944,-0.71571887
44,-304.47876,-0.6089576
45,-339.29285,-0.6785857
46,-381.28085,-0.76256174
47,-354.49475,-0.7089896
1,-139.18195,-0.27836382
2,-431.05933,-0.86211854
3,-475.9113,-0.9518227
4,-427.2158,-0.8544316
5,178.86913,0.35773823
6,11.702455,0.02340491
7,384.72974,0.7694596
8,834.33887,1.6686779
9,59.12553,0.11825096
10,681.2801,1.3625605
11,216.25882,0.43251765
12,177.07664,0.35415325
13,4.5515566,0.009103111
14,157.60838,0.31521684
15,273.67688,0.5473536
16,351.95416,0.7039082
17,482.94562,0.96589136
18,390.64532,0.78129053
19,274.49902,0.54899806
20,343.90344,0.6878069
21,285.3862,0.57077235
22,271.06653,0.54213303
23,84.82238,0.16964479
24,72.63132,0.14526261
25,65.29704,0.13059409
26,198.85133,0.39770257
27,131.69319,0.26338634
28,210.94127,0.42188257
29,70.48469,0.14096935
30,-30.33167,-0.06066335
31,-107.21813,-0.21443625
32,-63.854355,-0.12770872
33,-65.621124,-0.13124225
34,61.41208,0.12282421
35,-44.4909,-0.088981815
36,-65.50985,-0.13101974
37,-96.38739,-0.19277474
38,-157.84178,-0.3156836
39,-145.04692,-0.29009387
40,-153.22766,-0.30645525
41,-190.3621,-0.3807242
42,-62.11528,-0.12423056
43,-148.40239,-0.29680482
44,-204.04578,-0.40809143
45,-260.6643,-0.5213286
46,-368.64383,-0.7372878
47,-413.89087,-0.82778186
48,-298.3349,-0.59667
49,-370.92697,-0.74185413
50,-392.23407,-0.7844681
51,-328.829,-0.65765804
52,-428.76328,-0.85752636
53,-423.9173,-0.8478345
54,-360.83142,-0.7216627
55,-408.10248,-0.81620497
56,-438.01056,-0.8760212
57,-411.9848,-0.8239696
1,-396.55536,-0.7931107
2,-548.74713,-1.0974945
3,-466.06274,-0.9321256
4,-515.2713,-1.0305427
5,-415.5905,-0.8311812
6,-563.43726,-1.1268741
7,-460.745,-0.92148983
8,-586.00806,-1.1720165
9,-519.0499,-1.0380999
10,-594.3064,-1.1886128
11,-313.31894,-0.6266379
12,-400.82736,-0.8016547
13,-408.854,-0.817708
14,-534.3346,-1.0686692
15,-406.95657,-0.8139131
16,-594.14087,-1.1882819
17,-522.3397,-1.0446793
18,-616.79224,-1.2335846
19,-521.1218,-1.0422438
20,-539.8036,-1.0796071
21,-534.03375,-1.0680676
22,-545.13916,-1.0902785
23,-547.01013,-1.0940202
24,-573.76904,-1.147538
25,-590.2897,-1.1805791
26,-571.82,-1.1436402
27,-594.3156,-1.188631
28,-645.15564,-1.2903117
29,-546.23914,-1.0924783
1,-548.6284,-1.0972571
2,-444.87573,-0.8897515
3,-458.68423,-0.9173686
1,-522.1971,-1.0443943
2,-486.88156,-0.9737633
3,-543.2372,-1.0864743
4,-489.65482,-0.9793095
5,-457.95624,-0.91591245
6,-576.1288,-1.1522576
7,-495.05316,-0.99010646
8,-585.6012,-1.1712029
9,-511.7425,-1.023485
10,-523.66675,-1.0473335
11,-544.46246,-1.0889248
12,-531.2245,-1.0624491
13,-530.7069,-1.061414
14,-538.93964,-1.0778793
15,-560.79254,-1.1215851
16,-468.41968,-0.9368392
17,-462.03574,-0.9240713
18,-442.63843,-0.88527685
19,-461.1933,-0.9223866
20,-428.85065,-0.8577012
21,-429.33685,-0.8586731
22,-420.90106,-0.841802
23,-484.51672,-0.9690335
24,-477.30475,-0.9546095
25,-484.5361,-0.9690722
26,-488.76962,-0.97753924
27,-500.96576,-1.0019315
28,-453.1878,-0.9063756
29,-470.55768,-0.94111615
1,-398.9458,-0.7978914
2,-404.10822,-0.80821663
3,-414.82288,-0.8296456
4,-410.5327,-0.82106555
5,-407.2031,-0.81440634
6,-401.38144,-0.80276304
7,-390.20728,-0.7804144
8,-394.35986,-0.7887196
9,-373.3263,-0.7466525
10,-381.5629,-0.7631256
11,-427.93317,-0.85586655
12,-424.1858,-0.8483716
13,-327.90802,-0.65581554
14,-336.83313,-0.67366636
15,-322.66663,-0.645334
16,-342.50146,-0.6850034
17,-339.22675,-0.67845285
18,-330.69324,-0.66138697
19,-362.80157,-0.7256033
20,-351.10834,-0.7022167
21,-395.74976,-0.7914992
22,-370.05783,-0.74011594
23,-388.329,-0.7766584
24,-374.51257,-0.74902517
25,-359.8166,-0.7196333
26,-360.39035,-0.72078073
1,-324.98898,-0.6499781
2,-293.4366,-0.58687294
3,-258.6698,-0.51733965
4,-327.8,-0.65559995
5,-255.50897,-0.5110179
6,-289.3346,-0.57866955
7,-307.2905,-0.6145809
8,-282.75476,-0.5655096
9,-277.04745,-0.55409485
10,-257.8402,-0.5156808
11,-279.02353,-0.55804735
12,-272.424,-0.544848
13,-289.46515,-0.5789303
14,-300.02988,-0.60005957
15,-304.1767,-0.6083532
16,-269.4403,-0.53888077
17,-267.6652,-0.5353296
18,-234.63469,-0.46926954
19,-211.94334,-0.42388663
20,-197.04373,-0.39408815
21,-199.52277,-0.399045
22,-218.77173,-0.4375431
23,-279.2223,-0.5584447
24,-237.92355,-0.47584707
25,-255.66693,-0.5113338
26,-225.90388,-0.45180738
27,-223.90364,-0.4478075
28,-280.08923,-0.56017846
29,-256.07593,-0.51215196
30,-249.48367,-0.4989673
31,-254.0138,-0.5080275
1,-273.2576,-0.5465152
2,-268.71564,-0.53743094
3,-260.28406,-0.52056813
4,-248.90202,-0.49780402
5,-259.51062,-0.51902115
6,-284.89023,-0.5697804
7,-275.03992,-0.5500798
8,-264.56647,-0.52913296
9,-289.5871,-0.5791741
10,-245.25644,-0.49051264
11,-280.20123,-0.56040245
12,-246.75195,-0.4935039
13,-229.50488,-0.45901012
14,-226.58968,-0.45317882
15,-223.21898,-0.44643778
16,-226.72525,-0.45344996
17,-227.29492,-0.4545899
18,-223.75111,-0.4475026
19,-198.62787,-0.397256
20,-154.32724,-0.30865452
21,-163.55638,-0.32711312
22,-146.63435,-0.2932687
23,-138.36392,-0.27672836
24,-138.29593,-0.2765918
25,-168.36295,-0.33672583
26,-183.58685,-0.36717373
27,-223.01834,-0.4460367
28,-110.39341,-0.22078668
29,-157.91246,-0.3158249
30,-214.64464,-0.42928925
31,-160.43777,-0.32087544
32,-189.83856,-0.37967658
33,-210.09164,-0.42018333
1,-196.05594,-0.39211252
2,-177.92676,-0.35585365
3,-177.40836,-0.35481656
4,-183.81445,-0.36762872
5,-192.13321,-0.3842664
6,-202.7135,-0.40542707
7,-180.74149,-0.3614831
8,-175.77206,-0.35154414
9,-174.37817,-0.34875646
10,-160.33607,-0.32067215
11,-140.02483,-0.28004956
12,-134.53865,-0.26907745
13,-250.3742,-0.50074834
14,-118.06155,-0.23612344
15,-129.44395,-0.2588879
16,-146.7923,-0.2935844
17,-170.58856,-0.34117714
18,-180.29103,-0.36058214
19,-148.88528,-0.29777038
20,-135.7874,-0.2715748
21,-131.17036,-0.26234072
22,-137.19258,-0.27438524
23,-124.14176,-0.24828348
24,-91.173065,-0.18234625
25,-104.72319,-0.20944653
26,-107.48663,-0.21497323
27,-112.194305,-0.22438864
28,-112.33594,-0.22467189
29,-110.06026,-0.22012053
30,-122.65938,-0.2453187
31,-143.87708,-0.28775385
32,-141.22673,-0.28245345
33,-137.20605,-0.27441204
34,-139.40881,-0.27881792
1,-125.7733,-0.25154662
2,-116.33894,-0.23267792
3,-115.14163,-0.23028326
4,-118.00906,-0.23601809
5,-112.210075,-0.22442013
6,-105.5296,-0.21105927
7,-93.787476,-0.18757492
8,-79.81105,-0.15962216
9,-90.0702,-0.18014044
10,-81.99173,-0.16398352
11,-84.60402,-0.16920803
12,-80.33694,-0.16067395
13,-103.84191,-0.2076839
14,-81.73559,-0.16347112
15,-86.490234,-0.17298041
16,-6.763716,-0.01352745
17,-16.769943,-0.03353981
18,-21.675365,-0.043350685
19,-5.305524,-0.01061105
20,-18.941803,-0.037883583
21,-29.73984,-0.059479725
22,-32.09717,-0.06419434
23,-27.56739,-0.05513481
24,-13.98272,-0.027965415
25,-69.23369,-0.13846734
26,-87.56376,-0.17512752
27,-52.14807,-0.10429615
28,-11.789983,-0.023579935
29,-44.396053,-0.08879211
30,-18.04849,-0.03609701
31,-7.655093,-0.01531021
32,-19.480453,-0.038960982
33,-12.578862,-0.02515761
34,-8.242718,-0.016485395
35,-8.218727,-0.016437447
36,-44.613853,-0.089227706
37,-12.414391,-0.024828793
38,-4.012976,-0.00802595
39,-21.90426,-0.043808524
40,-11.265646,-0.022531293
41,11.575884,0.023151815
42,24.662968,0.04932605
43,24.96174,0.049923565
44,19.946434,0.039892897
45,0.41957378,0.00083918765
46,0.6833372,0.0013666628
47,0.57956266,0.0011591034
48,7.3521814,0.014704409
49,3.5676632,0.007135319
50,17.892696,0.0357854
51,10.94981,0.021899609
52,23.583813,0.047167685
53,72.32009,0.14464027
54,68.38066,0.13676134
55,69.36174,0.13872361
56,49.789948,0.099579774
57,23.258266,0.046516556
58,1.979927,0.0039598593
59,22.406116,0.044812266
60,27.325314,0.05465075
61,28.207117,0.05641417
62,36.323814,0.072647646
63,34.965233,0.06993048
64,79.43675,0.15887347
65,82.02727,0.16405453
66,92.89964,0.18579961
67,126.20575,0.25241113
68,146.78198,0.2935639
69,146.02167,0.29204345
70,119.71582,0.23943113
71,111.842545,0.22368482
72,130.0509,0.26010132
73,140.23622,0.28047216
74,139.28656,0.27857232
75,135.59671,0.27119341
76,127.76184,0.2555241
77,119.88202,0.23976403
78,124.252304,0.24850507
79,146.1937,0.29238734
80,149.99149,0.29998347
81,157.83516,0.31567076
82,132.96077,0.26592168
83,131.02411,0.2620478
84,149.22794,0.2984561
85,186.45697,0.37291396
86,151.79782,0.30359584
87,151.64395,0.30328825
88,176.35321,0.35270685
89,182.4214,0.3648432
90,180.1087,0.3602175
91,152.55927,0.30511853
92,169.27454,0.33854872
93,162.73924,0.32547894
94,164.92325,0.32984716
95,150.26126,0.30052254
96,139.00554,0.2780106
97,190.92148,0.38184297
98,174.0513,0.3481025
99,156.83789,0.31367534
100,156.65097,0.3133023
