episode,average q_values
1,11.356233
2,7.177388
3,-1.1546535
4,-1.243041
5,-1.310381
6,-2.347414
7,-2.3924098
8,-1.9589033
9,-0.5012565
10,1.0249027
11,0.27253124
12,-1.1078515
13,-1.0276437
14,-1.0336175
15,-1.0564281
16,-1.1036826
17,-0.9806858
18,-0.9714796
19,-1.1582979
20,-1.1430058
21,-1.0691514
22,-1.0644311
23,-0.8047432
24,-0.80776906
25,-0.8604331
26,-0.8712828
27,-0.89208007
28,-0.8439817
29,-0.8566034
30,-0.84826463
31,-0.82288945
32,-0.7743523
33,-0.802927
34,-0.8073643
35,-0.6101131
36,-0.56511915
37,-0.5647256
38,-0.6780448
39,-0.6666881
40,-0.61348975
41,-0.5929738
42,-0.58294386
43,-0.656565
44,-0.4323932
45,-0.4488707
46,-0.4298578
47,-0.42431098
48,-0.41842297
49,-0.41612056
50,-0.38923955
