episode2,sum q_values2,average q_values2
1,1577.0256,3.1540513
2,-639.4142,-1.2788284
3,-2076.0928,-4.152185
4,-829.08044,-1.6581609
5,-915.5519,-1.8311036
6,-614.83374,-1.2296674
7,228.36188,0.45672378
8,394.3164,0.78863287
9,244.74889,0.48949772
10,264.10577,0.5282115
11,61.72884,0.12345764
12,-124.690796,-0.24938156
13,-1861.5687,-3.7231376
14,-2908.535,-5.81707
15,-45.820587,-0.091641165
16,168.82098,0.337642
17,388.7906,0.77758116
18,913.8478,1.8276957
19,1136.5074,2.2730148
20,1327.6368,2.6552737
21,1460.2852,2.9205709
22,1454.8774,2.909755
23,1592.9509,3.1859019
24,1795.4272,3.5908546
25,1896.9941,3.7939882
26,1831.0546,3.6621094
27,1358.0634,2.7161264
28,1495.2056,2.9904113
29,1457.7661,2.9155326
30,1394.3076,2.7886155
31,1447.2358,2.894472
32,1551.5695,3.1031392
33,1427.3684,2.854737
34,1750.8,3.5016003
35,1406.3944,2.8127887
36,1680.0107,3.3600214
37,2171.8335,4.343667
38,1812.2108,3.6244216
39,1844.6046,3.6892095
40,1879.6785,3.7593565
41,1631.0796,3.262159
42,1762.992,3.5259833
43,1737.8477,3.4756954
44,1676.7667,3.3535337
45,1736.07,3.4721406
46,1719.688,3.439376
47,1611.9302,3.22386
48,1591.6936,3.1833875
49,1700.3135,3.4006271
50,1722.5073,3.4450147
51,1797.5049,3.5950093
52,1814.838,3.6296759
53,1906.1863,3.8123727
54,1775.8696,3.5517395
55,1728.4779,3.456956
56,1782.5533,3.5651069
57,1755.1807,3.510361
58,1733.042,3.466084
59,1818.7301,3.6374605
60,1733.388,3.466776
61,1959.9694,3.919939
62,1685.113,3.3702257
63,1755.1313,3.5102625
64,1696.4202,3.39284
65,1733.7972,3.4675944
66,1686.8304,3.373661
67,1643.9824,3.287965
68,1667.3816,3.3347633
69,1544.0801,3.08816
70,1759.4026,3.5188053
71,1668.3838,3.336768
72,1565.2472,3.1304939
73,1603.8589,3.2077184
74,1689.1328,3.3782659
75,1732.5342,3.465068
76,1873.8569,3.7477136
77,1667.1544,3.3343089
78,1595.5123,3.1910245
79,1774.5022,3.5490043
80,1987.1765,3.9743528
81,2074.2725,4.148545
82,1424.5586,2.849117
83,1493.0743,2.986149
84,1842.0874,3.6841748
85,1915.7065,3.8314126
86,1699.6018,3.3992035
87,1527.7073,3.0554144
88,1638.3372,3.2766743
